Order ID,Date,Customer Name,Email,Product,Category,Quantity,Price,Total,Payment Method,Shipping Country
1001,2025-03-01,John Doe,john.doe@example.com,Wireless Mouse,Electronics,2,15.99,31.98,Credit Card,USA
1002,2025-03-02,Jane Smith,jane.smith@example.com,Cotton T-Shirt,Apparel,1,12.49,12.49,PayPal,UK
1003,2025-03-03,Amit Kumar,amit.kumar@example.com,Laptop Stand,Accessories,1,27.89,27.89,Debit Card,India
1004,2025-03-03,Lisa Wong,lisa.wong@example.com,Noise Cancelling Headphones,Electronics,1,59.99,59.99,Credit Card,Canada
1005,2025-03-04,Tom Brown,tom.brown@example.com,Coffee Mug,Home & Kitchen,3,8.99,26.97,PayPal,USA
1006,2025-03-04,Emma Wilson,emma.wilson@example.com,Running Shoes,Sports,1,44.50,44.50,Credit Card,Australia
1007,2025-03-05,Raj Patel,raj.patel@example.com,Smartphone Case,Accessories,2,9.99,19.98,UPI,India
1008,2025-03-06,Olivia Garcia,olivia.garcia@example.com,LED Desk Lamp,Home & Kitchen,1,22.75,22.75,Credit Card,Mexico
1009,2025-03-07,David Lee,david.lee@example.com,Backpack,Bags,1,35.00,35.00,PayPal,Singapore
1010,2025-03-08,Maria Rossi,maria.rossi@example.com,Yoga Mat,Fitness,1,18.95,18.95,Debit Card,Italy
